Dates,aapl,amzn,msft,goog,xom,apc,cvx,c,gs,jpm,aet,jnj,dgx,spy,xlf,sso,sds,uso
2016-01-04T00:00:00.000000000,101.790649,636.98999000000003,52.433532999999997,741.84002699999996,72.740798999999996,48.801582000000003,82.577927000000003,50.149844999999999,172.80015600000002,61.180050000000001,107.291946,95.826781999999994,68.369063999999995,194.027725,14.100876999999999,60.724442000000003,82.0,10.98
2016-01-05T00:00:00.000000000,99.239844999999988,633.78997800000002,52.672736999999998,742.580017,73.360573000000002,48.195659999999997,83.284278999999998,49.885013999999998,169.82487499999999,61.285831000000009,108.78456899999999,96.227333000000002,68.388373999999999,194.355896,14.155176999999998,60.992381999999992,81.760002,10.66
2016-01-06T00:00:00.000000000,97.297759999999997,632.65002400000003,51.715916,743.61999500000002,72.750182999999993,43.477412999999999,79.994179000000003,49.159195000000004,165.67898600000001,60.401122999999998,108.23466499999999,95.740936000000005,67.325553999999997,191.90425099999999,13.937963,59.354942000000001,83.839995999999999,10.109999999999999
2016-01-07T00:00:00.000000000,93.191338000000002,607.94000199999994,49.917099,726.39001500000006,71.585731999999993,39.841873,77.159476999999995,46.648284999999994,160.58689899999999,57.958534,108.28375200000001,94.625129999999999,65.847243999999989,187.30017100000001,13.545769,56.526623000000001,87.879997000000003,9.9000000000000004
2016-01-08T00:00:00.000000000,93.684119999999993,607.04998799999998,50.070197999999998,714.46997099999999,70.139549000000002,40.288868000000001,76.332297999999994,45.245693000000003,159.92352299999999,56.660305000000008,105.14138799999999,93.614219999999989,65.507179000000008,185.244247,13.334589000000001,55.315906999999996,89.839995999999999,9.8000000000000007
2016-01-11T00:00:00.000000000,95.201072999999994,617.73999000000003,50.041488999999999,716.03002900000001,69.200469999999996,37.497653999999997,75.068306000000007,45.951884999999997,161.669678,56.573753000000004,103.42291299999999,93.051536999999996,66.012428,185.42764299999999,13.352689999999999,55.345680000000002,89.680000000000007,9.25
2016-01-12T00:00:00.000000000,96.582756000000003,617.89001500000006,50.500759000000002,726.07000700000003,70.618476999999999,37.080459999999995,76.350891000000004,45.981307999999999,161.650192,56.698771999999998,107.438965,93.690505999999999,66.30390899999999,186.92375200000001,13.455263,56.209053000000004,88.199996999999996,9.1699999999999999
2016-01-13T00:00:00.000000000,94.099593999999996,581.80999800000006,49.409987999999998,700.55999800000006,71.041060999999999,34.626971999999995,75.588768000000002,44.323715,155.09480300000001,55.140900000000002,103.235893,92.527000000000001,64.788162,182.26174900000001,13.105306000000001,53.450210999999996,92.599997999999999,9.0899999999999999
2016-01-14T00:00:00.000000000,96.157607999999996,593.0,50.816513,714.71997099999999,74.299652000000009,34.766033,79.436522999999994,44.510066999999999,157.43598899999998,55.967921999999994,106.553055,94.310401999999996,65.001930000000002,185.25389099999998,13.219946999999999,55.196812000000001,89.519997000000004,9.2300000000000004
2016-01-15T00:00:00.000000000,93.848372999999995,570.17999299999997,48.788059000000004,694.45001200000002,72.853476999999998,31.805955999999998,77.763587999999999,41.655853,151.79762299999999,54.852406000000009,103.393394,92.507935000000003,63.903983999999994,181.27722199999999,12.924294,52.805160999999998,93.319999999999993,8.7899999999999991
2016-01-19T00:00:00.000000000,93.394256999999996,574.47997999999995,48.376629000000001,701.78997800000002,71.745368999999997,30.643778000000001,75.756081000000009,41.136012999999998,152.97796599999998,54.823563,103.19652600000001,92.984779000000003,63.622227000000002,181.51852399999999,12.918260999999999,52.934169999999995,93.199996999999996,8.4900000000000002
2016-01-20T00:00:00.000000000,93.519867000000005,571.77002000000005,48.596699000000001,698.45001200000002,68.721549999999993,30.335852000000003,73.404678000000004,39.713809999999995,149.98317,53.381087999999998,102.409065,91.315818999999991,63.155838000000003,179.192352,12.664845,51.683754,95.360000999999997,8.2400000000000002
2016-01-21T00:00:00.000000000,93.046417000000005,575.02002000000005,48.300083000000001,706.59002699999996,69.585487000000001,33.325721999999999,75.328544999999991,39.380328999999996,147.93464699999998,53.131054000000006,103.60994699999999,91.497017,62.912930000000003,180.196167,12.610538999999999,52.219646000000004,94.400002000000001,8.5600000000000005
2016-01-22T00:00:00.000000000,97.993422999999993,596.38000499999998,50.031921000000004,725.25,71.905006,35.242825000000003,77.642760999999993,40.272880999999998,153.01698300000001,54.765857999999994,105.89357,92.26951600000001,64.069175999999999,183.892944,12.839821000000001,54.333438999999998,90.639999000000003,9.2699999999999996
2016-01-25T00:00:00.000000000,96.080321999999995,596.53002900000001,49.553509000000005,711.669983,69.472808999999998,32.094013000000004,75.179839999999999,38.791828000000002,147.41760300000001,53.525337,103.77726700000001,91.935738000000001,63.70966,181.11314400000001,12.580369000000001,52.735686999999999,93.279999000000004,8.5399999999999991
2016-01-26T00:00:00.000000000,96.611739999999998,601.25,49.917099,713.03997800000002,72.027084000000002,34.358775999999999,78.181838999999997,39.723618000000002,150.666031,54.890877000000003,103.334328,96.494361999999995,64.350937000000002,183.58406100000002,12.791550000000001,54.095264,90.680000000000007,8.9700000000000006
2016-01-27T00:00:00.000000000,90.263724999999994,583.34997599999997,49.008128999999997,699.98999000000003,70.70300300000001,35.292491999999996,77.410415999999998,39.782471000000001,149.953934,54.852406000000009,100.095901,97.428985999999995,63.88456,181.58608999999998,12.74328,52.954009999999997,92.680000000000007,9.1799999999999997
2016-01-28T00:00:00.000000000,90.911086999999995,635.34997599999997,49.811855000000001,730.96002199999998,72.299423000000004,37.000999,79.854759000000001,39.664619000000002,153.21208200000001,55.083210000000001,97.24135600000001,97.533874999999995,62.329956000000003,182.531982,12.749314999999999,53.519676000000004,91.720000999999996,9.6999999999999993
